Marca,Modelo,Status do Modelo,Tipo,Modelo Unidade Interna,Modelo Unidade Externa,Função,Tensão (V),Rotação,Fluido Refrigerante,"Se outro fluido refrigerante, especificar",Carga do Fluido Refrigerante (g),Capacidade de Refrigeração Nominal (Btu/h),Capacidade de Refrigeração Nominal (W),Potência Consumida no Modo Espera (W),Capacidade a 35 °C e em Carga Total (W),Potência Consumida a 35 °C e em Carga Total (W),Capacidade a 35 °C e em Carga Parcial (W),Potência Consumida a 35 °C e em Carga Parcial (W),Capacidade a 29 °C e em Carga Parcial (W),Potência Consumida a 29 °C e em Carga Parcial (W),Capacidade a 29 ºC e Carga Total (W),Potência Consumida a 29 ºC e Carga Total (W) ,IDRS (Wh/Wh),Consumo Anual de Energia (kWh),Faixa de Classificação,Código de Barras,Status do Registro,Número do Registro
Samsung,AR24MVSPBGNAZ+AR24MVSPBGXAZ,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,002207/2017
Samsung,AR12NVFPCWKNAZ + AR12NVFPCWKXAZ,Incluido,,,,,,,,,,,,,,,,,,,,,,,,8801643415280,Ativo,002207/2017
SAMSUNG,AR18TVGZDWKNAZ,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,002207/2017
SAMSUNG,AR18TSGZDWKNAZ,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,002207/2017
SAMSUNG,AR18TVHZDWKNAZ,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7892509115360,Ativo,002207/2017
KOMECO,MXH 09FC 1HA / KOH 09FC 1HA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873170291,Cancelado,001082/2016
KOMECO,BZH 09QC 1HA / KOH 09QC 1HA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873170468,Cancelado,001074/2016
Tivah,FC60H,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,005417/2016
NOVEXIUM,NOV21J,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,003148/2015
NOVEXIUM,NOV24J,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,003148/2015
ELBRUS,DG30INT/DG30EXT,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,006655/2014
NOVEXIUM,NOV18W226,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,003741/2016
