estado,empresa,tarifa
RJ,Ceres,1.48406
RJ,CERCI,1.38336
RS,COOPERNORTE,1.3711300000000002
RJ,Ceral Araruama,1.21386
SC,Certrel,1.12729
SP,Cedrap,1.0908400000000003
SE,Cercos,1.0438200000000002
SC,Cerpalo,1.01522
SC,Ceral Anitápolis,1.0019
SP,Ceris,0.98003
PA,Equatorial PA,0.9783000000000001
SP,CERMC,0.9690799999999999
SC,Cerej,0.96186
SC,Ceraça,0.95142
PI,Equatorial PI,0.94669
SC,Cergral,0.9343
TO,Energisa TO,0.93022
RJ,Enel RJ,0.92539
RS,Creral,0.92066
SP,Cetril,0.90998
GO,Equatorial GO,0.89181
SP,Cedri,0.8859300000000001
SP,Cerim,0.88226
MS,Energisa MS,0.8781
AC,Energisa AC,0.87381
SC,Ceprag,0.86385
SP,CERVAM,0.86358
MG,Cemig-D,0.8585799999999999
MT,Energisa MT,0.85213
MA,Equatorial MA,0.84318
AM,Amazonas Energia,0.84304
RO,Energisa RO,0.84139
BA,Neoenergia Coelba,0.83772
DF,Neoenergia Brasília,0.82672
RJ,Light,0.82356
RS,RGE (agrupada),0.8222
RS,Equatorial CEEE,0.822
GO,Chesp,0.81975
MG,Energisa Minas Rio,0.81704
AP,Equatorial CEA,0.80832
AL,Equatorial AL,0.80807
RS,CERFOX,0.8024
SP,Neoenergia Elektro,0.7960499999999999
SP,Ceripa,0.79546
SP,Cerpro,0.794
SC,COOPERZEM,0.7938
SC,Cejama,0.7905399999999999
ES,EDP ES,0.78931
SP,EDP SP,0.7867000000000001
SC,Cergal,0.77354
PE,Neoenergia Pernambuco,0.76918
SP,Cernhe,0.7661699999999999
RS,CELETRO,0.7513299999999999
SC,Coorsel,0.74692
SP,Energisa Sul Sudeste (agrupada),0.74576
ES,ELFSM,0.74537
RN,Neoenergia Cosern,0.74424
SP,CPFL Piratininga,0.7396900000000001
RS,COOPERSUL,0.7377100000000001
RS,Certel,0.7363200000000001
SP,CERRP,0.7348199999999999
RS,Nova Palma,0.73436
SP,Enel SP,0.72518
SC,Cermoful,0.7157
SC,Cergapa,0.715
RS,Cermissões,0.7139800000000001
SE,Energisa SE,0.71247
CE,Enel CE,0.71007
RS,MuxEnergia,0.7018
SP,Cemirim,0.6961700000000001
SC,Celesc-DIS,0.6956800000000001
SC,Cooperaliança,0.6956800000000001
SC,EFLJC,0.6956800000000001
RS,Demei,0.69147
SP,CPFL Santa Cruz (agrupada),0.68871
RS,Eletrocar,0.68472
SC,Dcelt,0.6835399999999999
PR,Castro - DIS,0.6817000000000001
SE,Sulgipe,0.6793299999999999
PB,Energisa PB,0.67565
SP,CPFL Paulista,0.67553
SC,Coopera,0.66432
SC,Cersad,0.66084
SC,Eflul,0.65095
RS,Creluz-D,0.64852
PR,Cocel,0.6424200000000001
PR,Copel-DIS,0.6424200000000001
PR,Pacto Energia,0.6424200000000001
RR,Roraima Energia,0.64066
PR,Ceral DIS,0.6364
SC,Coopermila,0.6360399999999999
RS,Certaja,0.6333099999999999
SC,Cerbranorte,0.6314000000000001
MG,DMED,0.61757
RS,CERTHIL,0.60639
RS,Hidropan,0.60519
RS,COPREL,0.60418
SC,Cersul,0.58063
SC,Coopercocal,0.57008
RS,Ceriluz,0.55168
SC,CEGERO,0.5349200000000001
SC,Codesam,0.53416
RS,Cooperluz,0.47731999999999997
,,
,"Filtros aplicados:
Concessao é Concessionária ou Permissionária",
