Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
HAIER,HSQB-12RC1MAP/IN + HSQB-12RC1MAP/OU,Split Hi-Wall,12000.0,395.0,7.05
HAIER,HSQB-18RC1MAP/IN + HSQB-18RC1MAP/OU,Split Hi-Wall,18000.0,620.0,7.0
HAIER,HSQB-18RH1MAP/IN + HSQB-18RH1MAP/OU,Split Hi-Wall,18000.0,586.0,7.2
Springer Midea,38AGCA24M5 / 42AGCA24M5,Split Hi-Wall,24000.0,1057.0,5.5
Elgin,HJFI12C2WB / HJFE12C2CB,Split Hi-Wall,12000.0,382.0,7.62
Elgin,HJFI18C2WC / HJFE18C2CC,Split Hi-Wall,18000.0,664.0,6.26
Elgin,HJFI24C2WC / HJFE24C2CC,Split Hi-Wall,24000.0,975.0,5.83
Elgin,45HJFI09C2WC / 45HJFE09C2CC,Split Hi-Wall,9000.0,381.0,5.5
ELGIN,HJFI09C2WG/HJFE09C2CG,Split Hi-Wall,9000.0,327.0,7.0
UNIFRIO,UNFINV02F18INT /	UNFINV02F18EXT,Split Hi-Wall,12000.0,578.0,7.5
TCL,TAC-12CHFG3SI-INV / TAC-12CHFG3O-INV,Split Hi-Wall,12000.0,369.0,8.21
TCL,TAC-12CFG3WI-INV / TAC-12CFG3O-INV,Split Hi-Wall,12000.0,403.0,7.05
CONSUL,CBN12C / CBO12C,Split Hi-Wall,12000.0,925.0,3.14
Springer Midea,38AGQA09M5 / 42AGQA09M5,Split Hi-Wall,9000.0,396.0,5.5
Springer Midea,38AGVQB12M5 / 42AGVQB12M5,Split Hi-Wall,12000.0,447.0,6.5
Springer Midea,38AGVQB18M5 / 42AGVQB18M5,Split Hi-Wall,18000.0,727.0,6.0
Midea,38AEVQA24M5 / 42AEVQA24M5,Split Hi-Wall,24000.0,727.0,8.0
Springer Midea,38AGVCB09M5 / 42AGVCB09M5,Split Hi-Wall,9000.0,396.0,5.5
Springer Midea,38AGVCB18M5 / 42AGVCB18M5,Split Hi-Wall,18000.0,727.0,6.0
Springer Midea,38AGVCC09M5 / 42AGVCC09M5,Split Hi-Wall,9000.0,324.0,6.73
Springer Midea,38AGVCC18M5 / 42AGVCC18M5,Split Hi-Wall,18000.0,727.0,6.0
Springer Midea,38TVCC18S5 / 42AFVCH18S5,Split Hi-Wall,18000.0,793.0,5.5
Springer Midea,38TVCC22S5 / 42AFVCH22S5,Split Hi-Wall,22000.0,969.0,5.5
KENNEDY,KEN01F12INT - KEN01F12EXT,Split Hi-Wall,12000.0,818.0,3.5
TECHFRIO,TECHINV01F30INT - TECHINV01F30EXT,Split Hi-Wall,30000.0,1445.0,5.56
